,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
175142,175143,2020139221.0,202014000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,3/4/2020 7:51,,3/4/2020 8:47,5100 BLK N FEDERAL BLVD / W 51ST AVE,3133434.0,1712711.0,-105.02518549999999,39.78924209,1.0,111.0,Regis,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHWEST,OTHER,CARELESS DRIVING,ASLEEP AT THE WHEEL,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,SUV,ASLEEP AT THE WHEEL
175152,175153,2019776966.0,201978000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,25:00.0,,12/9/2019 17:33,E MISSISSIPPI AVE / S MONROE ST,3156069.0,1679082.0,-104.945373,39.69657248,3.0,312.0,Cory - Merrill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,DRIVER FATIGUE,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER FATIGUE
175268,175269,2020220503.0,202022000000000.0,5441,0,TRAF - ACCIDENT               ,4/11/2020 19:14,,4/11/2020 20:31,18600 BLOCK E GVR BLVD,3205228.0,1711119.0,-104.7697667,39.78356472,5.0,523.0,Gateway - Green Valley Ranch,0.0,0.0,OTHER-NONCOLLISION,  ,OTHER-NONCOLLISION,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,NORTH,MAKING LEFT TURN,IMPROPER TURN,NO APPARENT,  ,SUV,NORTH,MAKING LEFT TURN,OTHER,DISTRACTED-OTHER,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
175374,175375,2019735268.0,201974000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,11/18/2019 20:07,,11/18/2019 20:07,N OGDEN ST / E 26TH AVE,3147733.0,1700178.0,-104.9745626,39.75462103,2.0,211.0,Five Points,0.0,0.0,CURB,WALL OR BUILDING,WALL OR BUILDING,RAN OFF LEFT SIDE,NON INTERSECTION,CURVE ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
175433,175434,2020356644.0,202036000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,6/10/2020 21:30,,6/10/2020 23:24,W MISSISSIPPI AVE / S JASON ST,3140936.0,1679038.0,-104.99915130000001,39.69669302,4.0,422.0,Ruby Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,SUV,WEST,GOING STRAIGHT,OTHER,DUI/DWAI/DUID,  ,1.0,0.0,  ,  ,SUV,  ,OTHER
175499,175500,2019409610.0,201941000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/1/2019 6:00,,7/1/2019 6:00,2500 BLOCK W ALAMEDA AVE,3135812.0,1684242.0,-105.01726200000002,39.7110553,4.0,412.0,Athmar Park,0.0,0.0,LIGHT/UTILITY POLE,  ,LIGHT/UTILITY POLE,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
175514,175515,2019465809.0,201947000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,7/24/2019 20:06,,7/24/2019 20:06,19001 E 58TH AVE,3206198.0,1717801.0,-104.76612340000001,39.80188589,5.0,522.0,DIA,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,BICYCLE,SOUTH,GOING STRAIGHT,  ,  ,OTHER,1.0,0.0,  ,  ,BICYCLE,  ,NO APPARENT
175593,175594,2020330901.0,202033000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,5/28/2020 20:01,,5/28/2020 21:18,15000 BLOCK E GATEWAY AVE,3193160.0,1711214.0,-104.8127023,39.78408397,5.0,521.0,Montbello,0.0,0.0,PARKED MV WITH OTHER VEHICLE,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,  ,EAST,GOING STRAIGHT,RECKLESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,EAST,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,  ,  ,OTHER
175611,175612,2020459812.0,202046000000000.0,5441,0,TRAF - ACCIDENT               ,7/30/2020 11:56,,7/30/2020 12:31,3100 BLOCK W ARIZONA AVE,3133231.0,1678272.0,-105.02654650000001,39.69470361,4.0,421.0,Mar Lee,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,  ,NORTH,GOING STRAIGHT,  ,  ,PLAYING IN ROADWAY,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
175654,175655,2019514966.0,201951000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,8/14/2019 17:30,,39:00.0,E 12TH AVE / N SYRACUSE ST,3169093.0,1693392.0,-104.898754,39.73562872,2.0,223.0,East Colfax,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,DISREGARD STOP SIGN,DUI/DWAI/DUID,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID
175668,175669,2020462895.0,202046000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/31/2020 19:34,,7/31/2020 20:06,400 S SANTA FE DR,3141751.0,1683718.0,-104.99616280000001,39.70952827,3.0,312.0,Baker,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,  ,SOUTH,GOING STRAIGHT,  ,  ,  ,PICKUP TRUCK/UTILITY VAN,WEST,MAKING RIGHT TURN,  ,  ,  ,1.0,0.0,  ,  ,  ,  ,  
175705,175706,2019607778.0,201961000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,9/22/2019 18:07,,9/22/2019 18:07,E COLFAX AVE / N COLORADO BLVD,3157296.0,1694956.0,-104.94066540000001,39.74012903,2.0,213.0,Congress Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,  ,WEST,  ,DISREGARDED OTHER DEVICE,  ,CROSS AGAINST SIGNAL,SUV,NORTH,GOING STRAIGHT,OTHER,DISTRACTED-OTHER,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
175710,175711,2019705806.0,201971000000000.0,5441,0,TRAF - ACCIDENT               ,11/5/2019 15:25,,11/5/2019 15:25,W 8TH AVE / N ACOMA ST,3143765.0,1690855.0,-104.98886170000002,39.72908989,6.0,611.0,Civic Center,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,  ,SOUTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
175775,175776,2019808252.0,201981000000000.0,5441,0,TRAF - ACCIDENT               ,12/24/2019 11:32,,12/24/2019 12:19,W 11TH AVE / N SPEER BLVD,3142446.0,1692587.0,-104.99351680000001,39.73386484,6.0,611.0,Civic Center,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,LIGHT/UTILITY POLE,FRONT TO SIDE WITH MV IN TRANSPORT,RAN OFF LEFT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DRIVER INEXPERIENCE
175779,175780,2020497094.0,202050000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/16/2020 22:22,,8/16/2020 22:52,E 45TH AVE / N PEORIA ST,3183528.0,1708938.0,-104.8470317,39.77803115,5.0,511.0,Montbello,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,DISREGARD STOP SIGN,DRIVER INEXPERIENCE,  ,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DRIVER INEXPERIENCE
175792,175793,2019531711.0,201953000000000.0,5441,0,TRAF - ACCIDENT               ,8/21/2019 14:50,,8/21/2019 15:20,E ALAMEDA AVE / S JACKSON ST,3156827.0,1684523.0,-104.9425607,39.71149642,3.0,311.0,Belcaro,0.0,0.0,REAR TO REAR WITH MV IN TRANSPORT,TREE,REAR TO REAR WITH MV IN TRANSPORT,RAN OFF RIGHT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
175845,175846,20198064785.0,2019810000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/30/2019 23:18,,12/30/2019 23:18,26296 E 78TH AVE,3230143.0,1730779.0,-104.68048879999999,39.83694906,7.0,759.0,DIA,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,  ,  ,  ,  ,  ,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,DRIVER INEXPERIENCE
175846,175847,20186003.0,2018600000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/3/2018 14:28,,1/3/2018 15:10,W CENTER AVE / S ELIOT ST,3133966.0,1682280.0,-105.02386000000001,39.70569592,4.0,412.0,Athmar Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,ICY,DAY LIGHT,  ,WEST,  ,  ,EVADING LAW ENFORCEMENT OFFICER,OTHER,PICKUP TRUCK/UTILITY VAN,SOUTHWEST,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,EVADING LAW ENFORCEMENT OFFICER
175880,175881,2020225955.0,202023000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,4/14/2020 16:44,,4/14/2020 17:25,I25 HWYSB / S DOWNING ST,3148189.0,1676576.0,-104.97342739999999,39.68982168,3.0,313.0,Platt Park,0.0,0.0,HIGHWAY BARRIER,  ,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,CHANGING LANES,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
175893,175894,2019715397.0,201972000000000.0,5441,0,TRAF - ACCIDENT               ,11/9/2019 17:29,,11/9/2019 17:29,E COLFAX AVE / N VALENTIA ST,3171071.0,1695054.0,-104.8916814,39.74015504,2.0,223.0,East Colfax,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,NORTH,  ,FAILED TO YIELD ROW,OTHER,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,EAST,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,OTHER
175931,175932,2020218478.0,202022000000000.0,5441,0,TRAF - ACCIDENT               ,4/10/2020 20:57,,56:00.0,I70 HWYWB / PEORIA TO WB I70 RAMP,3182174.0,1707689.0,-104.85188050000001,39.77462912,5.0,511.0,Central Park,0.0,0.0,WALL OR BUILDING,  ,WALL OR BUILDING,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,PICKUP TRUCK/UTILITY VAN,WEST,OTHER,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,  ,  ,  ,  ,  ,  ,3.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,PICKUP TRUCK/UTILITY VAN,DRIVER INEXPERIENCE
175973,175974,2019424289.0,201942000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,7/7/2019 3:14,,7/7/2019 3:47,3100 BLOCK S COLORADO BLVD,3157493.0,1665957.0,-104.94059979999999,39.66051733,3.0,314.0,University Hills,0.0,0.0,BRIDGE STRUCTURE,EMBANKMENT,EMBANKMENT,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,RECKLESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,0.0,2.0,PASSENGER CAR/VAN,PASSENGER CAR/VAN,  ,  ,DUI/DWAI/DUID
176012,176013,2019504437.0,201950000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/10/2019 10:51,,8/10/2019 11:33,W FLORIDA AVE / S CLAY ST,3134976.0,1676386.0,-105.0203809,39.68950097,4.0,422.0,Ruby Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,MOTORCYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,  ,  ,NO APPARENT
176068,176069,2019469788.0,201947000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/26/2019 13:59,,7/26/2019 15:31,4600 BLOCK E 12TH AVE,3159308.0,1692959.0,-104.93355530000001,39.73461270000001,2.0,222.0,Hale,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,OTHER,NORTH,OTHER,  ,  ,PLAYING IN ROADWAY,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,  
176160,176161,2019740145.0,201974000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/21/2019 5:27,,11/23/2019 2:09,I25 HWYNB / E YALE AVE,3161735.0,1668523.0,-104.9254754,39.66748895,3.0,323.0,Hampden,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,DISREGARDED OTHER DEVICE,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
176172,176173,2019821095.0,201982000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/31/2019 16:01,,41:00.0,MORRISON RD / S UTICA ST,3127861.0,1680975.0,-105.04558109999999,39.70219924,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,  ,SOUTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,SOUTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
176174,176175,2019602839.0,201960000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,9/20/2019 14:15,,9/20/2019 15:05,105 N KNOX CT,3131416.0,1686895.0,-105.03283859999999,39.71840143,4.0,411.0,Barnum,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING RIGHT TURN,CARELESS DRIVING,  ,  ,  ,  ,  ,  ,  ,LYING IN ROADWAY,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
176214,176215,2019570172.0,201957000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,9/6/2019 18:44,,9/6/2019 18:44,2350 BLOCK E EVANS AVE,3152281.0,1672386.0,-104.95897590000001,39.67825316,3.0,314.0,University Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,AGGRESSIVE DRIVING
176281,176282,2020231051.0,202023000000000.0,5441,0,TRAF - ACCIDENT               ,4/16/2020 23:50,,4/16/2020 23:51,3800 BLOCK N PEORIA ST,3183704.0,1705821.0,-104.8464853,39.76947114,5.0,512.0,Central Park,0.0,0.0,LIGHT/UTILITY POLE,FENCE,LIGHT/UTILITY POLE,RAN OFF LEFT SIDE,NON INTERSECTION,CURVE ON-GRADE,WET,DARK-LIGHTED,SUV,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID
176300,176301,2020199255.0,202020000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,4/2/2020 5:57,,4/2/2020 6:15,2200 BLOCK N BROADWAY ST,3144149.0,1699635.0,-104.9873203,39.75318662,6.0,621.0,Five Points,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,  ,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
176315,176316,2020133819.0,202013000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,3/1/2020 18:30,,3/1/2020 18:59,S SHERIDAN BLVD / W ALAMEDA AVE,3125686.0,1684294.0,-105.0532529,39.71134025,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,  ,EAST,GOING STRAIGHT,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
176403,176404,2020281605.0,202028000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,5/7/2020 20:36,,5/7/2020 21:29,E EVANS AVE / S GILPIN ST,3149861.0,1672456.0,-104.967572,39.67848457,3.0,313.0,University,0.0,0.0,OTHER-NONCOLLISION,FRONT TO REAR WITH MV IN TRANSPORT,SIGN,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,EAST,CHANGING LANES,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,PICKUP TRUCK/UTILITY VAN,EAST,CHANGING LANES,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,AGGRESSIVE DRIVING
176430,176431,2019679733.0,201968000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10/24/2019 2:00,,10/24/2019 3:00,I25 HWYNB / E HAMPDEN AVE,3163800.0,1663287.0,-104.91825929999999,39.65307877,3.0,324.0,Hampden South,0.0,0.0,CRASH CUSHION/TRAFFIC BARRIER,  ,CRASH CUSHION/TRAFFIC BARRIER,RAN OFF RIGHT SIDE,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,SLUSHY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,DRIVER INEXPERIENCE,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DRIVER INEXPERIENCE
176463,176464,2019608811.0,201961000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,9/23/2019 7:28,,9/23/2019 13:43,2400 BLOCK E 29TH AVE,3152305.0,1701492.0,-104.958274,39.75815446,2.0,213.0,Skyland,0.0,0.0,PARKED MV WITH OTHER VEHICLE,  ,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,SPUN OUT OF CONTROL,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,SUV,  ,PARKED,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
176484,176485,2019604752.0,201960000000000.0,5441,0,TRAF - ACCIDENT               ,9/21/2019 10:20,,23:00.0,I25 NB,,,,,3.0,,,0.0,0.0,HIGHWAY BARRIER,REAR TO SIDE WITH MV IN TRANSPORT,HIGHWAY BARRIER,ON ROADWAY,NON INTERSECTION,CURVE ON-GRADE,DRY,DAY LIGHT,SUV,NORTH,SPUN OUT OF CONTROL,OTHER,NO APPARENT,  ,SUV,NORTH,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,NO APPARENT
176515,176516,2019808626.0,201981000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/24/2019 15:39,,12/24/2019 16:42,N SHERIDAN BLVD / W ELLSWORTH AVE,3125671.0,1686220.0,-105.0532726,39.71662774,4.0,411.0,Barnum West,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,SUV,NORTH,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
176546,176547,2019808826.0,201981000000000.0,5441,0,TRAF - ACCIDENT               ,12/24/2019 18:07,,12/24/2019 18:07,E ALBROOK DR / N TULSA CT,3185016.0,1709881.0,-104.8417134,39.78059031,5.0,521.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,BRIDGE STRUCTURE,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,NORTHWEST,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
